run_id,experiment_id,trade_date,portfolio_id,benchmark,gross_return,transaction_cost,daily_return,turnover,nav,top_k,horizon,research_boundary,max_drawdown
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-07-15,top5_equal_weight,CSI300_DEMO,-0.00123067177174927,0.00075,-0.00198067177174927,0.75,0.92447169369459,5,5d,research_signals_only_not_investment_advice,-0.22259484792275974
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-07-16,top5_equal_weight,CSI300_DEMO,0.007386456431600829,0.00075,0.0066364564316008295,0.75,0.9306069098120424,5,5d,research_signals_only_not_investment_advice,-0.21743563250129705
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-07-17,top5_equal_weight,CSI300_DEMO,0.00010018580821584689,0.0008888888888888888,-0.0007887030806730419,0.8888888888888888,0.929872937275378,5,5d,research_signals_only_not_investment_advice,-0.2180528434287683
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-07-18,top5_equal_weight,CSI300_DEMO,-0.033825287769176794,0.00075,-0.034575287769176795,0.75,0.8977223128803121,5,5d,research_signals_only_not_investment_advice,-0.24508889138750822
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-07-21,top5_equal_weight,CSI300_DEMO,-0.0189096201860939,0.001,-0.0199096201860939,1.0,0.8798490025982834,5,5d,research_signals_only_not_investment_advice,-0.26011888483424594
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-07-22,top5_equal_weight,CSI300_DEMO,-0.02743502568315197,0.0008888888888888888,-0.02832391457204086,0.8888888888888888,0.8549282346123942,5,5d,research_signals_only_not_investment_advice,-0.2810752143336671
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-07-23,top5_equal_weight,CSI300_DEMO,0.026453906771504276,0.0008888888888888888,0.025565017882615386,0.8888888888888888,0.8767844902186129,5,5d,research_signals_only_not_investment_advice,-0.26269588933185184
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-07-24,top5_equal_weight,CSI300_DEMO,-0.013016905922478483,0.0008888888888888888,-0.013905794811367372,0.8888888888888888,0.8645921050038436,5,5d,research_signals_only_not_investment_advice,-0.27294868900838076
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-07-25,top5_equal_weight,CSI300_DEMO,0.02668293261853958,0.0008888888888888888,0.02579404372965069,0.8888888888888888,0.8868934315686235,5,5d,research_signals_only_not_investment_advice,-0.25419509569896304
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-07-28,top5_equal_weight,CSI300_DEMO,-0.02220322488933788,0.00075,-0.022953224889337882,0.75,0.8665363671809523,5,5d,research_signals_only_not_investment_advice,-0.27131372339095583
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-07-29,top5_equal_weight,CSI300_DEMO,0.019177656690115397,0.0008888888888888888,0.018288767801226506,0.8888888888888888,0.8823842495916431,5,5d,research_signals_only_not_investment_advice,-0.2579869492781127
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-07-30,top5_equal_weight,CSI300_DEMO,-0.0015833191315391293,0.0008888888888888888,-0.0024722080204280183,0.8888888888888888,0.8802028121727032,5,5d,research_signals_only_not_investment_advice,-0.25982135989336974
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-07-31,top5_equal_weight,CSI300_DEMO,0.003823412506076762,0.0008888888888888888,0.0029345236171878734,0.8888888888888888,0.8827857881129392,5,5d,research_signals_only_not_investment_advice,-0.2576492881930388
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-08-01,top5_equal_weight,CSI300_DEMO,0.013552905503458468,0.0008888888888888888,0.01266401661456958,0.8888888888888888,0.8939654020007073,5,5d,research_signals_only_not_investment_advice,-0.24824814644487792
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-08-04,top5_equal_weight,CSI300_DEMO,0.021933357397617592,0.0008888888888888888,0.0210444685087287,0.8888888888888888,0.9127784287510042,5,5d,research_signals_only_not_investment_advice,-0.23242792823635872
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-08-05,top5_equal_weight,CSI300_DEMO,-0.009172607687405732,0.0008888888888888888,-0.010061496576294621,0.8888888888888888,0.9035945117152104,5,5d,research_signals_only_not_investment_advice,-0.24015085200846797
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-08-06,top5_equal_weight,CSI300_DEMO,-0.018523400411223846,0.0003333333333333334,-0.01885673374455718,0.33333333333333337,0.8865556705947535,5,5d,research_signals_only_not_investment_advice,-0.25447912507817294
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-08-07,top5_equal_weight,CSI300_DEMO,-0.00011468606599491782,0.0008888888888888888,-0.0010035749548838067,0.8888888888888888,0.8856659455276343,5,5d,research_signals_only_not_investment_advice,-0.2552273111565876
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-08-08,top5_equal_weight,CSI300_DEMO,0.055057950691135796,0.00075,0.054307950691135795,0.75,0.9337646480261672,5,5d,research_signals_only_not_investment_advice,-0.21478023269477498
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-08-11,top5_equal_weight,CSI300_DEMO,-0.013228615011361878,0.0008888888888888888,-0.014117503900250766,0.8888888888888888,0.9205822219657415,5,5d,research_signals_only_not_investment_advice,-0.22586557582226052
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-08-12,top5_equal_weight,CSI300_DEMO,-0.009876432521224299,0.0005714285714285714,-0.01044786109265287,0.5714285714285714,0.9109641067862777,5,5d,research_signals_only_not_investment_advice,-0.23395362475311032
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-08-13,top5_equal_weight,CSI300_DEMO,-0.0033470208637361052,0.00075,-0.004097020863736105,0.75,0.9072318678346596,5,5d,research_signals_only_not_investment_advice,-0.23709213273508623
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-08-14,top5_equal_weight,CSI300_DEMO,0.046044540490418506,0.001,0.045044540490418505,1.0,0.948097710439536,5,5d,research_signals_only_not_investment_advice,-0.20272729841761294
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-08-15,top5_equal_weight,CSI300_DEMO,0.04277650338557093,0.0008888888888888888,0.04188761449668204,0.8888888888888888,0.9878112618396141,5,5d,research_signals_only_not_investment_advice,-0.1693314468450018
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-08-18,top5_equal_weight,CSI300_DEMO,0.024212571684589256,0.0008888888888888888,0.023323682795700365,0.8888888888888888,1.0108506583727819,5,5d,research_signals_only_not_investment_advice,-0.14995719700285115
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-08-19,top5_equal_weight,CSI300_DEMO,0.04393435239770001,0.0008888888888888888,0.04304546350881112,0.8888888888888888,1.0543631935006252,5,5d,research_signals_only_not_investment_advice,-0.11336671054550973
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-08-20,top5_equal_weight,CSI300_DEMO,-0.005508985618496465,0.001,-0.006508985618496465,1.0,1.0475003586374576,5,5d,research_signals_only_not_investment_advice,-0.11913779387544932
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-08-21,top5_equal_weight,CSI300_DEMO,-0.015495805454503131,0.0008888888888888888,-0.01638469434339202,0.8888888888888888,1.0303373854365894,5,5d,research_signals_only_not_investment_advice,-0.133570451881446
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-08-22,top5_equal_weight,CSI300_DEMO,-0.008545878072000935,0.001,-0.009545878072000934,1.0,1.0205019103821875,5,5d,research_signals_only_not_investment_advice,-0.14184128270576457
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-08-25,top5_equal_weight,CSI300_DEMO,-0.02208172006399267,0.0005714285714285714,-0.02265314863542124,0.5714285714285714,0.9973843289235685,5,5d,research_signals_only_not_investment_advice,-0.16128127968141326
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-08-26,top5_equal_weight,CSI300_DEMO,-0.03698294734638903,0.001,-0.03798294734638903,1.0,0.9595007324739511,5,5d,research_signals_only_not_investment_advice,-0.19313828867370497
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-08-27,top5_equal_weight,CSI300_DEMO,-0.008817324607983235,0.0008888888888888888,-0.009706213496872123,0.8888888888888888,0.9501876135141537,5,5d,research_signals_only_not_investment_advice,-0.20096986070628953
